job_id,processing_time,due_date
1,45,532
2,12,986
3,6,994
4,22,257
5,20,434
6,19,232
7,13,523
8,11,610
9,48,474
10,39,267
11,10,416
12,42,780
13,32,935
14,7,522
15,6,417
16,10,871
17,18,711
18,19,605
19,37,858
20,43,669
21,6,346
22,40,471
23,17,342
24,50,452
25,46,962
26,49,774
27,39,751
28,31,469
29,19,964
30,33,798
31,42,638
32,22,797
33,5,608
34,15,570
35,49,424
36,32,341
37,26,721
38,22,705
39,14,293
40,18,973
41,26,248
42,11,312
43,10,356
44,29,842
45,11,363
46,27,896
47,27,632
48,43,810
49,21,265
50,7,594
51,34,590
52,39,810
53,12,679
54,29,741
55,10,457
56,40,766
57,23,211
58,45,896
59,44,938
60,28,317
61,41,898
62,17,749
63,50,968
64,9,473
65,7,987
66,47,856
67,19,548
68,23,314
69,10,500
70,19,645
71,11,361
72,29,664
73,22,203
74,34,939
75,45,936
76,28,469
77,15,712
78,28,980
79,27,382
80,18,719
81,47,308
82,22,840
83,49,505
84,48,854
85,46,719
86,9,823
87,43,403
88,45,356
89,15,582
90,39,980
91,20,365
92,15,752
93,34,997
94,29,743
95,22,200
96,45,813
97,49,531
98,40,700
99,19,219
100,48,314
