job,p,d,S,C,T
32,1,2405,0,1,0.0
63,1,2535,1,2,0.0
26,4,2558,2,6,0.0
9,2,2485,6,8,0.0
51,4,2588,8,12,0.0
30,5,2453,12,17,0.0
83,11,2452,17,28,0.0
62,5,2570,28,33,0.0
39,12,2489,33,45,0.0
50,11,2534,45,56,0.0
72,12,2548,56,68,0.0
61,13,2370,68,81,0.0
10,16,2572,81,97,0.0
2,14,2383,97,111,0.0
92,18,2570,111,129,0.0
88,15,2472,129,144,0.0
86,20,2585,144,164,0.0
22,22,2595,164,186,0.0
19,23,2495,186,209,0.0
75,23,2569,209,232,0.0
90,23,2586,232,255,0.0
84,24,2598,255,279,0.0
68,25,2503,279,304,0.0
41,25,2621,304,329,0.0
87,26,2413,329,355,0.0
53,28,2580,355,383,0.0
34,29,2532,383,412,0.0
99,29,2484,412,441,0.0
52,31,2586,441,472,0.0
27,31,2574,472,503,0.0
85,32,2596,503,535,0.0
91,32,2589,535,567,0.0
1,33,2393,567,600,0.0
45,34,2605,600,634,0.0
81,36,2425,634,670,0.0
46,39,2533,670,709,0.0
31,37,2535,709,746,0.0
93,40,2597,746,786,0.0
25,40,2496,786,826,0.0
70,41,2563,826,867,0.0
60,40,2528,867,907,0.0
12,45,2522,907,952,0.0
78,42,2540,952,994,0.0
38,43,2503,994,1037,0.0
36,47,2488,1037,1084,0.0
49,47,2498,1084,1131,0.0
67,49,2582,1131,1180,0.0
47,51,2501,1180,1231,0.0
74,51,2493,1231,1282,0.0
20,52,2596,1282,1334,0.0
56,52,2495,1334,1386,0.0
57,52,2483,1386,1438,0.0
18,53,2558,1438,1491,0.0
7,56,2626,1491,1547,0.0
42,52,2500,1547,1599,0.0
5,53,2460,1599,1652,0.0
66,56,2429,1652,1708,0.0
11,56,2652,1708,1764,0.0
76,56,2504,1764,1820,0.0
23,57,2517,1820,1877,0.0
98,57,2545,1877,1934,0.0
73,63,2525,1934,1997,0.0
71,65,2601,1997,2062,0.0
77,67,2498,2062,2129,0.0
95,63,2456,2129,2192,0.0
97,67,2557,2192,2259,0.0
29,66,2496,2259,2325,0.0
37,69,2455,2325,2394,0.0
14,68,2512,2394,2462,0.0
0,67,2551,2462,2529,0.0
79,67,2582,2529,2596,14.0
44,69,2562,2596,2665,103.0
13,70,2654,2665,2735,81.0
59,71,2634,2735,2806,172.0
55,74,2462,2806,2880,418.0
6,74,2515,2880,2954,439.0
65,75,2459,2954,3029,570.0
4,75,2438,3029,3104,666.0
28,76,2564,3104,3180,616.0
8,77,2547,3180,3257,710.0
48,78,2436,3257,3335,899.0
40,79,2434,3335,3414,980.0
21,79,2450,3414,3493,1043.0
16,79,2439,3493,3572,1133.0
96,79,2635,3572,3651,1016.0
80,80,2621,3651,3731,1110.0
58,81,2565,3731,3812,1247.0
64,82,2535,3812,3894,1359.0
89,82,2470,3894,3976,1506.0
54,83,2608,3976,4059,1451.0
35,84,2522,4059,4143,1621.0
43,84,2641,4143,4227,1586.0
82,85,2488,4227,4312,1824.0
17,87,2504,4312,4399,1895.0
3,88,2684,4399,4487,1803.0
24,92,2609,4487,4579,1970.0
33,92,2635,4579,4671,2036.0
15,94,2571,4671,4765,2194.0
94,94,2513,4765,4859,2346.0
69,97,2583,4859,4956,2373.0
